tez_no,yazar,yıl,title,üniversite,tez_türü,konu,tez_detay
60783,CİHAT YÜCEL,1987,POR-8\'in (Ornithine-8-vazopressin) lokal vazokonstriktör olarak halothen anestezisinde değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Anestezi ve Reanimasyon = Anesthesiology and Reanimation," onclick=tezDetay('NdgrAx5MbeFgRjoN98gQvA','NdgrAx5MbeFgRjoN98gQvA')"
7884,HÜLYA SONUGÜR,1989,Laktasyonda D vitamini ve mineral homeostazı<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('7k99CF82e3kZkZHJwe1ObA','7k99CF82e3kZkZHJwe1ObA')"
7885,EMEL BAYRAKTAR(BÜYÜKBAĞRIAÇIK),1989,Ekstrensek astımlı hastalarda immünoterapi öncesi ve sonrası T süpresör lenfosit ve total IgE düzeyleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('QWCIM0VEX7FOmXKw1lNeqg','QWCIM0VEX7FOmXKw1lNeqg')"
7886,ELMAS ÖZHABEŞ,1989,Süt çocuğu beslenmesinde karoten vitamin A ve retinal bağlayan protein düzeyleriyle ilişkinin longitudinal değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Beslenme ve Diyetetik = Nutrition and Dietetics ; Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('CaKxN9c8vHN48NXhH07a5g','CaKxN9c8vHN48NXhH07a5g')"
9526,SİBEL ALHAN,1990,Üst servikal fraktürlerde konvansiyonel tomografi ve bilgisayarlı tomografi bulgularının karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('mAmkop-ZrAB7va-vFfcjow','mAmkop-ZrAB7va-vFfcjow')"
4949,BEYHAN TÜYSÜZ,1988,Cerrahpaşa ve İstanbul Tıp Fakülteleri çocuk kliniklerinde ölümlerin incelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Halk Sağlığı = Public Health," onclick=tezDetay('PLxFPXD2oiRbBCTrX5Hecw','PLxFPXD2oiRbBCTrX5Hecw')"
4950,MAHMUT NOBERİ,1988,Total larenjektomililerde üst solunum yolu mikroflorası<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('VgDgd21B3iWrZBsYCF_POQ','VgDgd21B3iWrZBsYCF_POQ')"
4951,ERDOĞAN CİCİK,1988,Retina pigment epiteli ve optik sinir üzerine Hidroksiklorokin ve Ethambutol\'ün doz ve süreye bağlı toksik etkilerinin araştırılması<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('uZnCM1i-oO9pKDsjQvZAQg','uZnCM1i-oO9pKDsjQvZAQg')"
4952,NURHAN GÖK,1988,Göz içi yabancı cisim olgularında prognoz<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('1rhfl2cw75Iv04pgHWGgrw','1rhfl2cw75Iv04pgHWGgrw')"
4953,EROL MEMETALİ,1988,Karaciğer kapsülü altına pankreas langerhans adacık transplantasyonunun deneysel diabet üzerine etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('R_NWnGyM6tIRZtTgZwyO1w','R_NWnGyM6tIRZtTgZwyO1w')"
9002,ELMONYA ARSLAN(AHBAP),1989,Yaşlılarda glikozillenmiş hemoglobin ve serum çinko değerleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('-BUCeD6RrmiLqmRuMIlWiQ','-BUCeD6RrmiLqmRuMIlWiQ')"
9003,MEHMET KARACA,1990,Askorbik asid yüklenen olgularda konürik asid düzeylerinin irdelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('WIG9aBWlxHj8E-TdA7N6GA','WIG9aBWlxHj8E-TdA7N6GA')"
9004,GIYAS BUAYÇ,1990,Glikozillenmiş hemoglobin ve glukoz toleransı<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('3unVG4kWLxUNOYIZZNYaKQ','3unVG4kWLxUNOYIZZNYaKQ')"
9005,EZEL USLU,1990,Diabette eritrosit membran ve serum sialik asid düzeyleri ölçümünün önemi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('ZO4Rh4X2Zj7yrI7RoG99nQ','ZO4Rh4X2Zj7yrI7RoG99nQ')"
9006,HAKAN ÖRMEN,1990,Üriner sistem taşlı hastaların 24 saatlik idrarlarındaki sitrat miktarının önemi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Üroloji = Urology," onclick=tezDetay('h7xfk3Tr2QMh2at0HViuxw','h7xfk3Tr2QMh2at0HViuxw')"
9007,SAADET ÖNAL,1990,Tavşan serumunda lipoprotein düzeyleri üzerine parotinin etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('lL3IopDCE7ofhjJgsTd-VQ','lL3IopDCE7ofhjJgsTd-VQ')"
9008,TARIK TİHAN,1989,"İnsan miyeloid lösemi hücre kültürlerinde hücre siklusunun glutatyon, glutatyon-S-transferaz, selenyuma bağlı glutatyon peroksidaz ve süperoksit dismutaz üzerine etkisi<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('liScnB_IveKBBoXljVNYAQ','liScnB_IveKBBoXljVNYAQ')"
17790,OLCAY ÇUBUKÇU,1990,Yeni görüşler ışığında çeşitli yönleriyle meme karsinomlarının patolojik anatomik açıdan değerlendirilmesi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('4EcYzcC40A5XZ_U7pySCJQ','4EcYzcC40A5XZ_U7pySCJQ')"
5978,RAHMİ KAYA,1989,Barsak dikiş çizgilerinin saplı mezenterik serozal flap ile örtülmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('5PP1EztHYzMckxSRhDGQ3w','5PP1EztHYzMckxSRhDGQ3w')"
5979,AHMET TEKİN,1989,Hemodiyaliz için yapılan damarsal girişimler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Genel Cerrahi = General Surgery," onclick=tezDetay('0GnBPDgkux5Wq5E2wtfoKQ','0GnBPDgkux5Wq5E2wtfoKQ')"
5673,AMİRE A. BASHA,1989,Tinea kapitis olgularında klinik mikolojik terapötik araştırmalar<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('x8acUMuRdINazWzpNVFRiA','x8acUMuRdINazWzpNVFRiA')"
9009,GÖNÜL ÖZ,1989,Hiperkolesterolemik dietle beslenen tavşanlarda böbrek karteksi lipid bileşiklerine ve CA2 + ATPaz aktivitesi üzerine eikosapentaenoik asid ve E vitaminin etkileri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('p9SMPS4MsB4mfrtBcYUlew','p9SMPS4MsB4mfrtBcYUlew')"
9010,M.TURGUT ADATEPE,1990,İdiopatik periferik fasiyal paralizilerde elektronöramiyografik özelliklerin prognostik değeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('8cfV2XX39KjRJhOP0XowYg','8cfV2XX39KjRJhOP0XowYg')"
9011,BÜLENT KAHYAOĞLU,1989,1984-1989 yılları arasında kliniğimiz çocuk nörolojisi birimine başvuran ataksi-telanji ektazi olgularının genel dökümü ve özellikleri (ataksi-telanjiektazi olguları üzerine retrospektif çalışma)<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('oy5dt8rtauTOTDpPi4FovA','oy5dt8rtauTOTDpPi4FovA')"
14454,BARBAROS ILIKKAN,1990,"Tip I diabetes mellituslu çocuklarda T3, T4 TSH değerleri ve bu parametrelerin hastalığın kontrolündeki yeri<br><span style='font-style: italic';> ",İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('o1GqOIo8EKJsbrczM6xxHQ','o1GqOIo8EKJsbrczM6xxHQ')"
9012,HAYRİYE KÜÇÜKOĞLU,1989,35 arka çukur kanama olgusunda klinik ve bilgisayarlı tomografi bulgularının retrospektif değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('35nlmG2FOFa9vT38kDMn7w','35nlmG2FOFa9vT38kDMn7w')"
9013,MEHMET MERİÇ,1990,İstikrarsız (unstable) angina pekforiste perkütan transluminal koroner anjioplasti tedavisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('-rD7DDST-Wikn0b2M5JsqQ','-rD7DDST-Wikn0b2M5JsqQ')"
9014,MUSTAFA MUSTAFA,1990,Böbrek parankim bozukluğu olmayan esansiyel hipertansiyon olgularında ürik asid klirensi değerleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('SXfE6CUAMFv_MHTDMbz1Kw','SXfE6CUAMFv_MHTDMbz1Kw')"
9389,ŞÜKRÜ BOZLUOLÇAY,1990,Internal mammary lenfosintigrafi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('nZw9W1pDOWN2EqUPO27AwA','nZw9W1pDOWN2EqUPO27AwA')"
9390,FUAT DEMİRKIRAN,1990,"Jinekolojik tümörlerde karsino embriyonik antigen, human korionik gonadotropin ve alfa fetoproteinin doku konsantrasyonu ile plazma düzeyleri arasındaki ilişki<br><span style='font-style: italic';> ",İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('srpuJD5tqUzQyLtuGYjDOQ','srpuJD5tqUzQyLtuGYjDOQ')"
9391,ÖMER EROL UZEL,1990,"Larenks kanserinde intrakaviter radyoterapide dozdağılımı, uygulama tekniği, hemilaren jektomi sonrası uygulama<br><span style='font-style: italic';> ",İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('88y_E1QhSIXRN6jAWNnNuA','88y_E1QhSIXRN6jAWNnNuA')"
9015,YUSUF MOİN,1989,"Kronik obstrüktif akciğer hastalarında mide ve duodenum tetkiki (fonksiyonel, radyolojik, patolojik ve ultrastrüktürel değerlendirme)<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('TH3_ydIgELWZsbFw7mC6uw','TH3_ydIgELWZsbFw7mC6uw')"
9016,AYTAÇ ÖNCÜL,1989,Tek ve iki odacıklı \'hız-cevaplı\' pacemaker uygulamasının egzersiz kapasitesine etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('WL7SzQhq00Mi1ykWRjBmFA','WL7SzQhq00Mi1ykWRjBmFA')"
9017,ERHAN ÖZEL,1989,"Stabil anjina pektoriste isosorbid dinitrat ve isosorbid-5-mononitratın etkilerinin karşılaştırılması (klinik, EKG, egzersiz testi ve laboratuvar parametreleri ile yapılan bir çalışma)<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('eDttYKEEaYkEvTH4GlSV_A','eDttYKEEaYkEvTH4GlSV_A')"
9018,İBRAHİM GÜNGÖR,1989,Diabetik hastalar ve normal kişilerde akut klorokin verilmesinin karbonhidrat toleransı üzerine olan etkileri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('A4CrxaVoaFsxtSpBwIFDnw','A4CrxaVoaFsxtSpBwIFDnw')"
9019,NİHAL BALCIOĞLU,1989,Retina ven tıkanıklıklarında argon laser fotokoagülasyon<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('OcxDMSlRrGz39kH21yjX5A','OcxDMSlRrGz39kH21yjX5A')"
9020,HASAN ÇUBUK,1989,Görsel uyarılmış potansiyellerin multipl sklerozda önemi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('l1w4HhhUFhmvu-yS97vyAw','l1w4HhhUFhmvu-yS97vyAw')"
9021,E.FEYZA ALTIN,1989,Orbita tümörlerinde bilgisayarlı tomografinin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('IACglI25O0F7EAKfj8gOhw','IACglI25O0F7EAKfj8gOhw')"
9022,A.FAZİLET KARATUM,1989,Primer basit glokomda başlangıç glokam hasarının ortaya çıkarılmasında fenk görme ve renkli bilgisayarlı görme alanı muayenelerinin yeri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('oTLzybZ7LJrD_m9GsdtyzQ','oTLzybZ7LJrD_m9GsdtyzQ')"
612667,SERVER SERDAROĞLU,1986,"Behçet hastalığında paterji testinin klinik aktivite, yaş ve cinsiyetle ilişkileri<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Dermatoloji = Dermatology," onclick=tezDetay('r1ASg68Da5yvGhuaUVyz-w','eKMyoMop0tlY7VNFdpPaxg')"
7167,SEVAL AKSEL,1989,"Hepatit, suçiçeği, kabakulak, kızamık infeksiyonlarında akut faz reaktanlarının yeri<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Klinik Bakteriyoloji ve Enfeksiyon Hastalıkları = Clinical Microbiology and Infectious Diseases," onclick=tezDetay('jSFpeV5bCZLKmBlxwEiBwQ','jSFpeV5bCZLKmBlxwEiBwQ')"
7168,KEMALETTİN ŞİŞLİ,1989,Akut miyokard enfarktüsü seyrinde diltiazem etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('7Aw2gv75GImRQXWW6Ie_NA','7Aw2gv75GImRQXWW6Ie_NA')"
7169,MUSTAFA ACHKAR,1989,Kronik obstrüktif akciğer hastalığında arter kan gazı bulguları ile fonksiyonel parametrelerin incelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Hastalıkları = Chest Diseases," onclick=tezDetay('0ifLwiiNUlrrYWYfZ5mNqA','0ifLwiiNUlrrYWYfZ5mNqA')"
7170,KÜRŞAD TÜRKDOĞAN,1989,Obezlerde OGTT\'de glisemi ve insulinemi değerlerinin obezite derecesi ile ilişkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('Qm5OcYpcD7iiySjiBarkuQ','Qm5OcYpcD7iiySjiBarkuQ')"
7171,MUSTAFA TOPALHASAN,1989,Asitli karaciğer sirozu olan erkeklerde serum aldosteron estradiol ve elektrolit düzeyleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Gastroenteroloji = Gastroenterology," onclick=tezDetay('J625_zGh3T0riQv8HgWC1A','J625_zGh3T0riQv8HgWC1A')"
7176,NECLA HÜSEYİNOĞLU,1989,"Lomber disk hernisine bağlı siyataljilerin tedavisinde lomber manipülasyon ve fizik tedavi uygulamalarından hot-pack, ultrason ve lomber intermittent traksiyonla alınan sonuçların karşılaştırılması<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Fiziksel Tıp ve Rehabilitasyon = Physical Medicine and Rehabilitation," onclick=tezDetay('Mux53Wd2n2i0xgkXGjgp4Q','Mux53Wd2n2i0xgkXGjgp4Q')"
7173,GÜLDEN YILMAZ,1989,HIV infeksiyonlu kişilerin risk gruplarına göre dağılımları ve HIV infeksiyonu tanısında çeşitli serolojik yöntemlerin karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('Hib0-hCKy-zvrL19fmX6OA','Hib0-hCKy-zvrL19fmX6OA')"
7174,OKTAY AYDEMİR,1988,Endometrium kanserinde östrogen reseptör tayinleri<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('n53z1W85QM5sv83y7odAfg','n53z1W85QM5sv83y7odAfg')"
7175,BÜLENT ZÜRE,1989,Kliniğimizde yapılan keratoplastilerin geç sonuçları<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('Iv17dLG274GRQwe-nNw7cA','Iv17dLG274GRQwe-nNw7cA')"
7177,ŞAHABETTİN PAKTER,1989,Monoküler travmatik kataraktlı olgularda kontakt lens ile binoküler görme sağlanması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göz Hastalıkları = Eye Diseases," onclick=tezDetay('SpJKUHLamJ4gLmhwg0z8Pw','SpJKUHLamJ4gLmhwg0z8Pw')"
7178,TAYLAN EMRE ÇOBAN,1989,"Lomber disk hernisinde, nöroradyolojik incelemeler ile cerrahi bulguların karşılaştırmalı incelenmesi<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('LDtBMJQIC5P0p9qjY_QLHg','LDtBMJQIC5P0p9qjY_QLHg')"
7179,LEVENT SERDAR BİRGÖREN,1989,Subaraknoid kanamaya neden olan intrakranial anevrizmaların cerrahi tedavisinde zamanlama<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroşirürji = Neurosurgery," onclick=tezDetay('EOh5fgDUBcLxXOnKGxZFAQ','EOh5fgDUBcLxXOnKGxZFAQ')"
7180,MUZAFFER ÇAVUŞOĞLU,1989,Disgerminoma ovarii: 1965-1985 yılları arasında takip ve tedavileri yapılan olguların değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('KFdvVXaCRpK-2IbHUKAGCg','KFdvVXaCRpK-2IbHUKAGCg')"
1547,HAMİT KADRİ AŞKIN,1987,Koroner Artrer bypass cerrahisi sonrası görülen supraventriküler taşiaritmilerin önlenmesinde acebutololün etkisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('QYsyr2imQ4Vi8D8GBdIgqA','QYsyr2imQ4Vi8D8GBdIgqA')"
6342,S.MURTAZA RAZAVİ,1989,Hipotiroidili hastalarda L-tiroksin tedavisinin kalp üzerindeki etkisinin muga (multiple gated acguisition) yöntemi ile incelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('s1vp5BpJ4i459UETuI49Sw','s1vp5BpJ4i459UETuI49Sw')"
835,OSMAN UĞUR ÇALPUR,1985,Femur boyun bölgesi kırıklarının kompresyonlu ve kayıcı kalça çivileri ile tedavisi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Ortopedi ve Travmatoloji = Orthopedics and Traumatology," onclick=tezDetay('aPij-3jdV3TNOogNiNYhyg','aPij-3jdV3TNOogNiNYhyg')"
9846,MÜJGAN DENİZ,1990,Protein enerji malnütrisyon vakalarında serum prolaktin değerlerinin incelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('ZwZXCpSh0trpavjTQDy_Fw','ZwZXCpSh0trpavjTQDy_Fw')"
9847,HAKAN C. KAYNAK,1990,İdiopatik (primer) jeneralize epilepsilerde klinik ve polisomnografik çalışma<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('5RiyDaLzC_dik0Ep7D7-1Q','5RiyDaLzC_dik0Ep7D7-1Q')"
3901,KAYA KANBEROĞLU,1988,Serebellum ve 4. ventrikül tümörlerinin bilgisayarlı tomografi bulguları ile histopatolojilerinin karşılaştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('mdtBbDU77MYJBjlqmvaRUg','mdtBbDU77MYJBjlqmvaRUg')"
3902,ÇİĞDEM PAPİLA,1988,Değişik solid tümörlü hastalarda bir dizi tümör işaretinin değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('9WyyQf7BpHl-ajYB16Alww','9WyyQf7BpHl-ajYB16Alww')"
3903,YASEMİN DEMİROĞLU,1988,Proteinlerin ısı ile denatürasyonuna etilen diamin tetra asetik asit tetra sodyum tuzu (EDTA)\'nun etkisinin incelenmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('8ZKFRH2BS5_twtz73KMi6A','8ZKFRH2BS5_twtz73KMi6A')"
3904,H.UĞUR ÖNCEL,1988,Elastaz\'ın elastin üzerine etkisini incelemede farklı yöntemler<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Biyokimya = Biochemistry," onclick=tezDetay('zVMYzKnOQiXVqBkHWJAYog','zVMYzKnOQiXVqBkHWJAYog')"
1333,İLHAMİ USLU,1987,Renogramın normallerde ve çeşitli böbrek hastalarında semikantitatif olarak değerlendirilmesi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('8CoRaeN8J_R_FlMX0wTL2A','8CoRaeN8J_R_FlMX0wTL2A')"
6167,GÖNÜL İREN,1989,Sağ ventrikül myokard enfarktüsünde EKG ve radyonüklid ventrikülografi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kardiyoloji = Cardiology," onclick=tezDetay('68pbjore4eyWYyy3mgnfAQ','68pbjore4eyWYyy3mgnfAQ')"
9525,CİVAN IŞLAK,1990,Tentorium cerebellenin dural arteriovenöz fistülleri<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Nöroloji = Neurology," onclick=tezDetay('jndi73tM9av_37iRcVh23A','jndi73tM9av_37iRcVh23A')"
6285,SUAT ERKMEN,1989,Doğumsal işitme özürlü çocuklarda (İstanbul bölgesi işitme özürlü çocuk okullarında) elektrokardiyografi ile surdo-kardiak sendrom sıklığının araştırılması<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('1FpoMmxOKuQFgdhgKceuRA','1FpoMmxOKuQFgdhgKceuRA')"
1569,TAYFUN SUAT ÇEŞMECİ,1987,Kalbin global iskemisi sırasında sol ventrikül kavitesine uygulanan basıncın miyokard kontraktürü ve fonksiyonları üzerine etkisi (deneysel çalışma)<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Göğüs Kalp ve Damar Cerrahisi = Thoracic and Cardiovascular Surgery," onclick=tezDetay('k1HqoSlW6CuTJmWWRYxPng','k1HqoSlW6CuTJmWWRYxPng')"
7194,MUSTAFA KEMAL HACIMUSTAFAOĞLU,1989,"Nöral tüp defektlerinde anne ve çocukta serum folatı, eritrosit folatı ve serum B12 vitamin değerleri ve karşılıklı ilişkileri<br><span style='font-style: italic';>",İstanbul Üniversitesi,Tıpta Uzmanlık,Çocuk Sağlığı ve Hastalıkları = Child Health and Diseases," onclick=tezDetay('yHOI4GayuIHHZbUmH7CIRA','yHOI4GayuIHHZbUmH7CIRA')"
7195,CANAN SARPEL,1989,Muayene maddelerinden izole edilen anaerop kokların tür yanısı<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Mikrobiyoloji = Microbiology," onclick=tezDetay('fEDcvFTPshy8g4RambNY-Q','fEDcvFTPshy8g4RambNY-Q')"
7196,MUSA ALTUN,1989,Nazofarenks tümörlerinin güncel durumu ve 195 olgunun incelenmesi<br><span style='font-style: italic';> ,İstanbul Üniversitesi,Tıpta Uzmanlık,Onkoloji = Oncology," onclick=tezDetay('9L3JBQWU--NzpNv_7Z8i9A','9L3JBQWU--NzpNv_7Z8i9A')"
7197,HALİL ŞİRANECİ,1989,Servikal spondilozda ofolarengolojik muayene sonuçlarının değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Kulak Burun ve Boğaz = Otorhinolaryngology (Ear-Nose-Throat)," onclick=tezDetay('uw6yrArgNwDdCS_wZivdfQ','uw6yrArgNwDdCS_wZivdfQ')"
9850,İBRAHİM KELEŞ,1990,Diabetes mellitusda tiroid hormonları düzeyi ve T4-T3 hormon dönüşümü<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Endokrinoloji ve Metabolizma Hastalıkları = Endocrinology and Metabolic Diseases," onclick=tezDetay('JAzQO8spnfAGyPnCdTq1gQ','JAzQO8spnfAGyPnCdTq1gQ')"
9851,BEDİİ KANMAZ,1990,Böbrek transplantasyonlarının Tc-99m DTPA (Dietilentriaminpentaasetik asit) ile değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('QtzAKc3UruU6VB5YjAEbsQ','QtzAKc3UruU6VB5YjAEbsQ')"
9527,A.GÜNDÜZ ÖGÜT,1990,İntraserebral meningiomların bilgisayarlı tomografi bulgularının değerlendirilmesi<br><span style='font-style: italic';>,İstanbul Üniversitesi,Tıpta Uzmanlık,Radyoloji ve Nükleer Tıp = Radiology and Nuclear Medicine," onclick=tezDetay('OW6n_iOwB8fhrHvFkZ-1mg','OW6n_iOwB8fhrHvFkZ-1mg')"
